Category,Bulgarian,Transliteration,English,Grammar_Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7
Time,вторник,vtornik,Tuesday,-,,,
Time,сряда,sryada,Wednesday,-,,,
Time,четвъртък,chetvŭrtŭk,Thursday,-,,,
Time,петък,petŭk,Friday,-,,,
Time,събота,sŭbota,Saturday,-,,,
Time,неделя,nedelya,Sunday,-,,,
Travel,летище,letishte,airport,-,,,
Travel,влак,vlak,train,-,,,
Travel,автобус,avtobus,bus,-,,,
Travel,спирка,spirka,bus stop,-,,,
Travel,хотел,hotel,hotel,-,,,
Travel,стая,staya,room,-,,,
Travel,резервация,rezervatsiya,reservation,-,,,
Travel,паспорт,pasport,passport,-,,,
Travel,билет,bilet,ticket,-,,,
Travel,багаж,bagazh,luggage,-,,,
Travel,такси,taksi,taxi,-,,,
Travel,карта,karta,map,-,,,
Travel,пътувам,pŭtuvam,to travel,-,,,
Travel,пристигам,pristigam,to arrive,-,,,
Travel,заминавам,zaminavam,to depart,-,,,
Verb,съм,sŭm,to be,Present tense,,,
Verb,имам,imam,to have,Present tense,,,
Verb,отивам,otivam,to go,Present tense,,,
Verb,идвам,idvam,to come,Present tense,,,
Verb,правя,pravya,to do/make,Present tense,,,
Verb,казвам,kazvam,to say/tell,Present tense,,,
Verb,говоря,govorya,to speak,Present tense,,,
Verb,разбирам,razbiram,to understand,Present tense,,,
Verb,знам,znam,to know,Present tense,,,
Verb,чета,cheta,to read,Present tense,,,
Verb,пиша,pisha,to write,Present tense,,,
Verb,уча,ucha,to learn/study,Present tense,,,
Verb,работя,rabotya,to work,Present tense,,,
Verb,живея,zhiveya,to live,Present tense,,,
Verb,обичам,obicham,to love,Present tense,,,
Verb,искам,iskam,to want,Present tense,,,
Verb,трябва,tryabva,must/should,Defective verb,,,
Verb,съм,sŭm,to be,Present: аз съм,,,
Verb,имам,imam,to have,Present: аз имам,,,
Verb,отивам,otivam,to go,Present: аз отивам,,,
Verb,правя,pravya,to do/make,Present: аз правя,,,
Verb,чета,cheta,to read,Present: аз чета,,,
Verb,уча,ucha,to learn / study,Imperfective verb,,,
Verb,науча,naucha,to learn (complete),Perfective verb,,,
Verb,преподавам,prepodavam,to teach,Imperfective verb,,,
Verb,обяснявам,obyasnyavam,to explain,Imperfective verb,,,
Verb,обясня,obyasnya,to explain (complete),Perfective verb,,,
Verb,пиша,pisha,to write,Imperfective verb,,,
Verb,напиша,napisha,to write (complete),Perfective verb,,,
Verb,чета,cheta,to read,Imperfective verb,,,
Verb,прочета,procheta,to read (complete),Perfective verb,,,
Verb,отговарям,otgovaryam,to answer,Imperfective verb,,,
Verb,отговоря,otgovorya,to answer (complete),Perfective verb,,,
Verb,задавам въпрос,zadavam vŭpros,to ask a question,Verb phrase,,,
Verb,мисля,mislya,to think,Imperfective verb,,,
Verb,разбирам,razbiram,to understand,Imperfective verb,,,
Verb,разбера,razbera,to understand (complete),Perfective verb,,,
Verb,запомням,zapomnyam,to memorize,Imperfective verb,,,
Verb,запомня,zapomnya,to memorize (complete),Perfective verb,,,
Verb,повтарям,povtaryam,to repeat,Imperfective verb,,,
Verb,упражнявам се,uprazhnyavam se,to practice,Reflexive verb,,,
Verb,започвам,zapochvam,to begin/start,Imperfective verb,,,
Verb,започна,zapochna,to begin/start (complete),Perfective verb,,,
Vocabulary,вода,voda,water,-,,,
Vocabulary,хляб,hlyab,bread,-,,,
Vocabulary,мляко,mlyako,milk,-,,,
Vocabulary,кафе,kafe,coffee,-,,,
Vocabulary,чай,chay,tea,-,,,
Vocabulary,ябълка,yabŭlka,apple,-,,,
Vocabulary,книга,kniga,book,-,,,
Vocabulary,стол,stol,chair,-,,,
Vocabulary,маса,masa,table,-,,,
Vocabulary,прозорец,prozorets,window,-,,,
Vocabulary,врата,vrata,door,-,,,
Vocabulary,семейство,semeystvo,family,-,,,
Vocabulary,приятел,priyatel,friend,-,,,
Vocabulary,училище,uchilishte,school,-,,,
Vocabulary,университет,universitet,university,-,,,
Vocabulary,работа,rabota,job/work,-,,,
Vocabulary,пари,pari,money,-,,,
Vocabulary,време,vreme,time,-,,,
Vocabulary,днес,dnes,today,-,,,
Vocabulary,утре,utre,tomorrow,-,,,
Vocabulary,вчера,vchera,yesterday,-,,,
Vocabulary,куче,kuche,dog,-,,,
Vocabulary,котка,kotka,cat,-,,,
Vocabulary,кола,kola,car,-,,,
Vocabulary,къща,kŭshta,house,-,,,
Vocabulary,град,grad,city,-,,,
Vocabulary,дърво,dŭrvo,tree,-,,,
Vocabulary,бърз,bŭrz,fast,-,,,
Vocabulary,бавен,baven,slow,-,,,
Vocabulary,топъл,topŭl,warm,-,,,
Vocabulary,студен,studen,cold,-,,,
Weather,време,vreme,weather,-,,,
Weather,слънчево,slŭnchevo,sunny,-,,,
Weather,облачно,oblachno,cloudy,-,,,
Weather,дъждовно,dŭzhdovno,rainy,-,,,
Weather,снежно,snezhno,snowy,-,,,
Weather,ветровito,vetrovito,windy,-,,,
Weather,топло,toplo,warm,-,,,
Weather,студено,studeno,cold,-,,,
Weather,горещо,goreshto,hot,-,,,
Weather,хладно,hladno,cool,-,,,
Weather,влажно,vlazhno,humid,-,,,
Weather,сухо,sukho,dry,-,,,
Weather,буря,burya,storm,-,,,
Weather,мълния,mŭlniya,lightning,-,,,
Weather,тъмен,tŭmen,dark,-,,,
Weather,ясен,yasen,clear,-,,,
Fitness,упражнителен велосипед,upraznitelen velosiped,Exercise Bike,Simple term - everyday use,,,
Fitness,велоергометър,veloergometar,Exercise bike,Formal,,,
