Category,Bulgarian Phrase,Pronunciation,English Translation
Health,Кога мога да си поема нормално?,Ko-ga mo-ga da si po-e-ma nor-mal-no?,When can I resume normal activities?
Health,Може ли медицинска отчет?,Mo-zhe li me-di-tsin-ska ot-chet?,Can I have a medical report?
Health,Благодаря за помощта.,Bla-go-da-rya za po-mosh-ta.,Thank you for your help.
Health,Желая бързо възстановяване.,Zhe-la-ya bar-zo vaz-sta-no-vya-va-ne.,I wish you a speedy recovery.
Travel,Къде е най-доброто място за хранене?,Ka-de e nay-dob-ro-to myas-to za hra-ne-ne?,Where is the best place to eat?
Travel,Искам да резервирам стая в хотел.,Is-kam da re-zer-vi-ram sta-ya v ho-tel.,I want to book a hotel room.
Travel,Колко струва една нощ?,Kol-ko stru-va ed-na nosht?,How much is it per night?
Travel,Къде е автобусната спирка?,Ka-de e av-to-bus-na-ta spir-ka?,Where is the bus stop?
Travel,Искам билет за Варна.,Is-kam bi-let za Var-na.,I want a ticket to Varna.
Travel,Кой е най-бързият начин да стигна до…?,Koy e nay-bar-zi-yat na-chin da stig-na do...?,What is the fastest way to get to...?
Travel,Може ли карта на града?,Mo-zhe li kar-ta na gra-da?,Can I have a map of the city?
Travel,Какво препоръчвате да видя тук?,Kak-vo pre-po-rach-va-te da vi-dya tuk?,What do you recommend I see here?
Travel,Къде мога да намеря такси?,Ka-de mo-ga da na-me-rya tak-si?,Where can I find a taxi?
Travel,Има ли безплатен Wi-Fi?,I-ma li bez-pla-ten Wi-Fi?,Is there free Wi-Fi?
Travel,Колко е далеч Черноморието?,Kol-ko e da-lech Cher-no-mo-ri-e-to?,How far is the Black Sea coast?
Travel,Обичам българската кухня.,O-bi-cham bal-gar-ska-ta kuh-nya.,I love Bulgarian cuisine.
Travel,Къде мога да купя сувенири?,Ka-de mo-ga da ku-pya su-ve-ni-ri?,Where can I buy souvenirs?
Travel,Искам да видя Рилския манастир.,Is-kam da vi-dya Ril-ski-ya ma-nas-tir.,I want to see Rila Monastery.
Travel,Кой е следващият влак за София?,Koy e sled-va-shti-yat vlak za So-fi-ya?,What is the next train to Sofia?
Travel,"Може ли сметката, моля?","Mo-zhe li smet-ka-ta, mo-lya?","Can I have the bill, please?"
Travel,Къде е най-красивият плаж?,Ka-de e nay-kra-si-vi-yat plazh?,Where is the most beautiful beach?
Travel,Има ли екскурзии до това място?,I-ma li eks-kur-zii do to-va myas-to?,Are there tours to this place?
Travel,Колко време отнема да се изкачи връх Мусала?,Kol-ko vre-me ot-ne-ma da se iz-ka-chi vrah Mu-sa-la?,How long does it take to climb Mount Musala?
Travel,Това място е прекрасно.,To-va myas-to e pre-kras-no.,This place is wonderful.
Travel,Къде мога да намеря банкомат?,Ka-de mo-ga da na-me-rya ban-ko-mat?,Where can I find an ATM?
Travel,Искам да наема кола за един ден.,Is-kam da na-e-ma ko-la za edin den.,I want to rent a car for one day.
Travel,Кое е традиционното ястие на този регион?,Ko-e e tra-di-tsi-on-no-to yas-tie na to-zi re-gi-on?,What is the traditional dish of this region?
Travel,Може ли да платя с кредитна карта?,Mo-zhe li da pla-tya s kre-dit-na kar-ta?,Can I pay with a credit card?
Travel,Къде е туристическият информационен център?,Ka-de e tu-ris-ti-ches-ki-yat in-for-ma-tsi-o-nen tsen-tar?,Where is the tourist information center?
Travel,Имам резервация.,I-mam re-zer-va-tsi-ya.,I have a reservation.
Travel,Колко струва входът?,Kol-ko stru-va vho-dat?,How much is the entrance fee?
Travel,В какъв час отварят музеите?,V ka-kav chas ot-va-ryat mu-ze-i-te?,What time do the museums open?
Travel,Обиколка на Пловдив.,O-bi-kol-ka na Plov-div.,Tour of Plovdiv.
Travel,Къде мога да видя традиционни народни танци?,Ka-de mo-ga da vi-dya tra-di-tsi-on-ni na-rod-ni tan-tsi?,Where can I see traditional folk dances?
Travel,Искам да опитам баница.,Is-kam da o-pi-tam ba-ni-tsa.,I want to try banitsa.
Travel,Кой е най-добрият сезон за посещение?,Koy e nay-do-bri-yat se-zon za po-se-shteni-e?,What is the best season to visit?
Travel,Може ли стая с изглед към морето?,Mo-zhe li sta-ya s iz-gled kam mo-re-to?,Can I have a room with a sea view?
Travel,Къде е старата част на града?,Ka-de e sta-ra-ta chast na gra-da?,Where is the old town?
Travel,Искам да отида на рибалския рибен пазар.,Is-kam da o-ti-da na ri-bal-ski-ya ri-ben pa-zar.,I want to go to the fishermen's market.
Travel,Колко е разстоянието до Велико Търново?,Kol-ko e raz-sto-ya-ni-e-to do Ve-li-ko Tar-no-vo?,What is the distance to Veliko Tarnovo?
Travel,Може ли да ми обясните как да стигна до…?,Mo-zhe li da mi ob-yas-ni-te kak da stig-na do...?,Can you explain how to get to...?
Travel,Къде мога да купя билет за културна обиколка?,Ka-de mo-ga da ku-pya bi-let za kul-tur-na o-bi-kol-ka?,Where can I buy a ticket for a cultural tour?
Travel,Има ли директна връзка до това място?,I-ma li di-rekt-na vraz-ka do to-va myas-to?,Is there a direct connection to this place?
Travel,Това е много живописно.,To-va e mnogo zhi-vo-pis-no.,This is very picturesque.
Travel,Къде мога да намеря аптека?,Ka-de mo-ga da na-me-rya ap-te-ka?,Where can I find a pharmacy?
Travel,Искам да видя крепостта.,Is-kam da vi-dya kre-post-ta.,I want to see the fortress.
Travel,Кое е най-популярното място за снимки?,Ko-e e nay-po-pu-lyar-no-to myas-to za snim-ki?,What is the most popular spot for photos?
Travel,Може ли да поръчам това ястие?,Mo-zhe li da po-ra-cham to-va yas-tie?,Can I order this dish?
Travel,Къде се намират минералните бани?,Ka-de se na-mi-rat mi-ne-ral-ni-te ba-ni?,Where are the mineral baths located?
Travel,Искам да разгледам манастирите.,Is-kam da raz-gle-dam ma-nas-ti-ri-te.,I want to explore the monasteries.
Travel,Колко време ще отнеме цялата обиколка?,Kol-ko vre-me shte ot-ne-me tsya-la-ta o-bi-kol-ka?,How long will the entire tour take?
Travel,България е красива страна.,Bal-ga-ri-ya e kra-si-va stra-na.,Bulgaria is a beautiful country.
Travel,Къде мога да намеря информация за историческите забележителности?,Ka-de mo-ga da na-me-rya in-for-ma-tsi-ya za is-to-ri-ches-ki-te za-be-le-zhi-tel-no-sti?,Where can I find information about the historical sights?
